gid,favela,2017,2020,2024,osm,temporal,completed
306,ALBUQUERQUE BARROS,False,False,False,False,False,0
307,GIPÓIA,False,False,False,False,False,0
308,JARDIM ARACATI II,False,False,False,False,False,0
309,CEU SAPOPEMBA,False,False,False,False,False,0
310,ALVARENGA II,False,False,False,False,False,0
311,SANTA FE III,False,False,False,False,False,0
312,ANAJAZEIRA 2,False,False,False,False,False,0
313,JARDIM CELESTE,False,False,False,False,False,0
432,VILA FELIZ,False,False,False,False,False,0
314,UNIÃO DA FERROVIA,False,False,False,False,False,0
315,JARDIM DO LAGO I,False,False,False,False,False,0
316,BOA VISTA,False,False,False,False,False,0
317,NESTOR DE CASTRO,False,False,False,False,False,0
318,FRAGATA DA CONSTITUIÇÃO,False,False,False,False,False,0
319,JARDIM VERA CRUZ I,False,False,False,False,False,0
320,JARDIM JAÇANA,False,False,False,False,False,0
321,PARQUE FERNANDA IV,False,False,False,False,False,0
322,NOSSA SENHORA ASSUNÇÃO II,False,False,False,False,False,0
323,JARDIM FONTES,False,False,False,False,False,0
324,FRANCISCO ALVES BEZERRA II,False,False,False,False,False,0
325,OCUPAÇÃO IQ 2014,False,False,False,False,False,0
683,JOÃO GASPAR III,False,False,False,False,False,0
326,FELIX ESCOBAR,False,False,False,False,False,0
327,JARDIM GANHAMBU,False,False,False,False,False,0
328,JARDIM MARIA EMÍLIA,False,False,False,False,False,0
329,SANTA MARGARIDA IV E VI,False,False,False,False,False,0
330,GUIOMAR BRANCO DA SILVA,False,False,False,False,False,0
331,TANCREDO COUTINHO,False,False,False,False,False,0
332,JARDIM VARGINHA III,False,False,False,False,False,0
333,PARQUE OTERO II,False,False,False,False,False,0
334,JARDIM CAMPINAS III,False,False,False,False,False,0
335,PARANAPANEMA III,False,False,False,False,False,0
336,VILA BONILHA,False,False,False,False,False,0
337,SILVESTRO PALMA,False,False,False,False,False,0
338,ANÍBAL DIFRÂNCIA II,False,False,False,False,False,0
339,VIOLÃO II,False,False,False,False,False,0
340,PARQUE TAIPAS,False,False,False,False,False,0
341,ALDEIA DE CIMA,False,False,False,False,False,0
342,CAMPO LIMPO,False,False,False,False,False,0
343,GABRIELA MISTRAL 2,False,False,False,False,False,0
344,JAPARANDUBA I,False,False,False,False,False,0
345,"JARDIM DOS SABIÁS I, II E III",False,False,False,False,False,0
346,CASTRO ALVES,False,False,False,False,False,0
347,PARQUE RESIDENCIAL COCAIA A,False,False,False,False,False,0
348,VIVA A NOITE,False,False,False,False,False,0
349,LETÍCIA,False,False,False,False,False,0
350,FIDALGA II,False,False,False,False,False,0
351,BOROS,False,False,False,False,False,0
472,CHAPADA DE MINAS,False,False,False,False,False,0
352,JARDIM ITAJAI,False,False,False,False,False,0
353,HELEN KELLER,False,False,False,False,False,0
354,MANUEL HOMEM DE ANDRADE I,False,False,False,False,False,0
355,NOVA IMIGRANTES,False,False,False,False,False,0
356,NOVA ESPERANCA,False,False,False,False,False,0
357,ANTONIO VIEIRA MARCONDES II,False,False,False,False,False,0
358,PAPA GREGÓRIO MAGNO,False,False,False,False,False,0
359,NAZLE MAUAD LUTIF,False,False,False,False,False,0
360,PEREZ CASAS,False,False,False,False,False,0
361,DO AREIÃO,False,False,False,False,False,0
362,PARQUE PLANALTO II,False,False,False,False,False,0
363,VILA DALVA,False,False,False,False,False,0
364,VILA IMPÉRIO,False,False,False,False,False,0
365,MÁRIO BELMONTE,False,False,False,False,False,0
366,FABIO LUZ,False,False,False,False,False,0
413,SANTA MARIA,False,False,False,False,False,0
367,TINTAS WANDA I / SÃO JORGE II,False,False,False,False,False,0
368,ARMANDO ERSE FIGUEIREDO,False,False,False,False,False,0
369,PERI ALTO II,False,False,False,False,False,0
370,FESTA CHINESA,False,False,False,False,False,0
371,FAVELINHA JARDIM JARAGUÁ,False,False,False,False,False,0
372,MATEUS LEME,False,False,False,False,False,0
373,VIEGAS XORTES,False,False,False,False,False,0
374,MACHADO NUNES,False,False,False,False,False,0
375,LUIS FAGUNDES MACHADO,False,False,False,False,False,0
376,JARDIM MARPU,False,False,False,False,False,0
377,PALÁCIO GUANABARA II,False,False,False,False,False,0
378,JARDIM ROSANA,False,False,False,False,False,0
379,JARDIM MITSUTANI,False,False,False,False,False,0
414,ANTÔNIO PROOST RODOVALHO NETO,False,False,False,False,False,0
380,GEORGE BERNANOS,False,False,False,False,False,0
381,RECANTO NOVA REPÚBLICA I,False,False,False,False,False,0
382,VILA JOANISA,False,False,False,False,False,0
383,AMERICANÓPOLIS III,False,False,False,False,False,0
384,TOMAZ SANDRINO,False,False,False,False,False,0
385,LOTE 18,False,False,False,False,False,0
386,BRÁS DE ABREU,False,False,False,False,False,0
387,CARBONO,False,False,False,False,False,0
388,SANTA ETELVINA VIII,False,False,False,False,False,0
389,VILA BANCARIA,False,False,False,False,False,0
390,VILA PAULISTANO II,False,False,False,False,False,0
391,VILA PAULISTANO I,False,False,False,False,False,0
392,JARDIM SÃO BENTO NOVO,False,False,False,False,False,0
393,NOVA FLORESTA,False,False,False,False,False,0
394,ENCOSTA DO CÉU PAZ,False,False,False,False,False,0
